taxonID	parentNameUsageID	canonicalName	taxonRank
2381443	2381431	Emblemariopsis bottomei	species
2381444	2381431	Emblemariopsis bahamensis	species
2381439	2381431	Emblemariopsis diaphana	species
5853604	2381431	Emblemariopsis carib	species
2381455	2381431	Emblemariopsis leptocirris	species
2381432	2381431	Emblemariopsis dianae	species
2381452	2381431	Emblemariopsis pricei	species
5788047	2381431	Emblemariopsis signifer	species
2381453	2381431	Emblemariopsis tayrona	species
2381450	2381431	Emblemariopsis ramirezi	species
2381396	2381395	Hemiemblemaria simulus	species
2381403	2381398	Chaenopsis limbaughi	species
2381405	2381398	Chaenopsis ocellata	species
2381486	2381469	Emblemaria vitta	species
2381491	2381469	Emblemaria piratula	species
2381484	2381469	Emblemaria hyltoni	species
2381485	2381469	Emblemaria pandionis	species
2398147	2398142	Hyperoglyphe bythites	species
2398160	2398142	Hyperoglyphe perciformis	species
2398059	2398054	Schedophilus ovalis	species
5853977	2346674	Elops smithi	species
2356711	2356709	Anoplogaster cornuta	species
5201174	5201173	Synanceia verrucosa	species
2333696	2333695	Pseudosynanceia melanostigma	species
2394324	2394319	Chaetodipterus lippei	species
2394320	2394319	Chaetodipterus faber	species
2379457	2369686	Lobotes surinamensis	species
2411218	2411217	Acyrtus artius	species
2411221	2411217	Acyrtus rubiginosus	species
2393081	2393067	Enneanectes smithi	species
2393079	2393067	Enneanectes boehlkei	species
2393080	2393067	Enneanectes atrorus	species
7571859	2393067	Enneanectes wilki	species
7616749	2393067	Enneanectes deloachorum	species
2393068	2393067	Enneanectes altivelis	species
8328303	2393067	Enneanectes matador	species
2393069	2393067	Enneanectes pectoralis	species
2393071	2393067	Enneanectes jordani	species
2411498	2411479	Tomicodon cryptus	species
2411496	2411479	Tomicodon australis	species
2411489	2411479	Tomicodon reitzae	species
2411483	2411479	Tomicodon rupestris	species
2411517	2411479	Tomicodon fasciatus	species
2411317	2411258	Gobiesox strumosus	species
2411310	2411258	Gobiesox punctulatus	species
2411267	2411258	Gobiesox nigripinnis	species
2411376	2411371	Acyrtops amplicirrus	species
2411372	2411371	Acyrtops beryllinus	species
2335006	2334959	Peristedion miniatum	species
2334983	2334959	Peristedion gracile	species
2335003	2334959	Peristedion brevirostre	species
2389338	2389329	Benthodesmus tenuis	species
2389330	2389329	Benthodesmus simonyi	species
2333513	2333512	Macroramphosus scolopax	species
2389389	2389387	Aphanopus intermedius	species
2389407	2389398	Trichiurus lepturus	species
2374373	2374368	Pempheris schomburgkii	species
2374402	2374368	Pempheris poeyi	species
5212709	7376093	Macroparalepis brevis	species
2401630	2401616	Stemonosudis siliquiventer	species
2401618	2401616	Stemonosudis gracilis	species
2401623	2401616	Stemonosudis intermedia	species
2401480	2401479	Lestidium atlanticum	species
5212765	2401608	Sudis atrox	species
5212760	2401608	Sudis hyalina	species
2401570	2401567	Uncisudis advena	species
2401493	2401490	Lestidiops affinis	species
2401542	2401536	Lestrolepis intermedia	species
2394266	2369201	Sphyraena ensis	species
2394237	2369201	Sphyraena lucasana	species
2394243	2369201	Sphyraena acutipinnis	species
2394241	2369201	Sphyraena borealis	species
2394236	2369201	Sphyraena tome	species
2394217	2369201	Sphyraena putnamae	species
2394238	2369201	Sphyraena picudilla	species
2394271	2369201	Sphyraena sphyraena	species
2381960	2369535	Coryphaena equiselis	species
2381939	2369535	Coryphaena hippurus	species
5208825	3237964	Gobiosoma longipala	species
5208826	3237964	Gobiosoma robustum	species
5208835	3237964	Gobiosoma grosvenori	species
5208832	3237964	Gobiosoma bosc	species
2375711	2375703	Gobionellus oceanicus	species
7949320	2376682	Elacatinus centralis	species
2376733	2376682	Elacatinus lori	species
2376739	2376682	Elacatinus redimiculus	species
2376734	2376682	Elacatinus colini	species
2376735	2376682	Elacatinus pridisi	species
2376706	2376682	Elacatinus jarocho	species
2376751	2376682	Elacatinus lobeli	species
2376732	2376682	Elacatinus figaro	species
8060214	2376682	Elacatinus cayman	species
2376717	2376682	Elacatinus oceanops	species
2376725	2376682	Elacatinus phthirophagus	species
2376707	2376682	Elacatinus genie	species
2376688	2376682	Elacatinus horsti	species
2376724	2376682	Elacatinus xanthiprora	species
2376740	2376682	Elacatinus randalli	species
2376691	2376682	Elacatinus prochilos	species
2376711	2376682	Elacatinus chancei	species
2376686	2376682	Elacatinus louisae	species
2376743	2376682	Elacatinus tenox	species
2376697	2376682	Elacatinus illecebrosus	species
2377829	2377815	Coryphopterus lipernes	species
2377816	2377815	Coryphopterus glaucofraenum	species
2377823	2377815	Coryphopterus punctipectophorus	species
2377825	2377815	Coryphopterus venezuelae	species
2377820	2377815	Coryphopterus kuna	species
2377827	2377815	Coryphopterus alloides	species
2377828	2377815	Coryphopterus eidolon	species
2377830	2377815	Coryphopterus thrix	species
2377821	2377815	Coryphopterus hyalinus	species
2377837	2377815	Coryphopterus dicrus	species
2377818	2377815	Coryphopterus tortugae	species
2377831	2377815	Coryphopterus personatus	species
2376033	2376031	Lophogobius cyprinoides	species
2378179	2378178	Ginsburgellus novemlineatus	species
2376046	2376042	Barbulifer antennatus	species
2376049	2376042	Barbulifer ceuthoecus	species
2377472	2377471	Risor ruber	species
2378325	2378323	Psilotris boehlkei	species
2378330	2378323	Psilotris alepis	species
6168311	2378323	Psilotris celsa	species
2378717	2378695	Gnatholepis thompsoni	species
4285928	2378695	Gnatholepis cauerensis	species
7351834	7259244	Tigrigobius harveyi	species
4285932	7259244	Tigrigobius dilepis	species
4285925	7259244	Tigrigobius pallens	species
7895825	7259244	Tigrigobius multifasciatus	species
7646160	7259244	Tigrigobius macrodon	species
7615065	7259244	Tigrigobius saucrus	species
7539419	7259244	Tigrigobius zebrella	species
2375770	2375752	Chriolepis fisheri	species
2375766	2375752	Chriolepis vespa	species
2375352	2375337	Ctenogobius saepepallens	species
2375376	2375337	Ctenogobius boleosoma	species
2375359	2375337	Ctenogobius pseudofasciatus	species
2375366	2375337	Ctenogobius stigmaturus	species
2379162	2379149	Ctenogobiops feroculus	species
2376810	2376809	Nes longus	species
2379131	2379117	Gobioides broussonnetii	species
2377093	2377014	Bathygobius mystacium	species
5853132	2377014	Bathygobius antilliensis	species
5853134	2377014	Bathygobius geminatus	species
2377070	2377014	Bathygobius curacao	species
2377096	2377014	Bathygobius soporator	species
7382528	2377014	Bathygobius lacertus	species
2378027	2377978	Oxyurichthys stigmalophius	species
2376651	2376642	Microgobius carri	species
2376657	2376642	Microgobius meeki	species
2376646	2376642	Microgobius microlepis	species
2376648	2376642	Microgobius gulosus	species
2376643	2376642	Microgobius signatus	species
2376660	2376642	Microgobius thalassinus	species
2378453	2378450	Priolepis dawsoni	species
2378467	2378450	Priolepis hipoliti	species
2378909	2378908	Evermannichthys metzelaari	species
9410579	8853142	Cryptopsilotris batrachodes	species
2379300	2379265	Pomatoschistus minutus	species
